Processor Speed,Processor Cores,RAM Gbs,Storage Gbs,Display Inches,GPU Model,USB Ports,Operating System,Weight,url,Battery mAh
2.5 GHz,4,16,1000,15.6,Intel Xe LPG Graphics,3,Windows 11,1.9,https://www.pccomponentes.com/portatil-alurin-flex-advance-ia-intel-core-ultra-5-125h-16gb-1tb-ssd-156-windows-11,
2.7 GHz,4,16,1,15.6,Intel Xe LPG Graphics,3,Windows 11 Pro,1.9,https://www.pccomponentes.com/portatil-alurin-flex-advance-ia-intel-core-ultra-7-155h-156-16gb-1tb-windows-11-pro,
up to 7 (Intel Core Ultra 7 155H),,16,1,15.6,Intel Xe LPG Graphics,3,,1.9,https://www.pccomponentes.com/portatil-alurin-flex-advance-ia-intel-core-ultra-7-155h-16gb-1tb-ssd-156,
185H,4,16,1,15.6,Intel Xe LPG Graphics,3,Windows 11 Pro,1.9,https://www.pccomponentes.com/portatil-alurin-flex-advance-ia-intel-core-ultra-9-185h-156-16gb-1tb-windows-11-pro,
28W,1,16GB,1000GB,15.6,Intel Xe LPG Graphics,3,,1.9kg,https://www.pccomponentes.com/portatil-alurin-flex-advance-ia-intel-core-ultra-9-185h-16gb-1tb-ssd-156,
2.8 GHz,4,16 GB,1 TB,15.6,Intel Xe LPG Graphics,3,Windows 11,1.9 kg,https://www.pccomponentes.com/portatil-alurin-flex-advance-ia-intel-core-ultra-9-185h-16gb-1tb-ssd-156-windows-11,
,4,8,256,15.6,Intel Iris Xe,5,Windows 11,1.7,https://www.pccomponentes.com/portatil-alurin-flex-advance-intel-core-i3-1125g4-8gb-256gb-ssd-156-windows-11-pro,4000
,4,16,500,15.6,Intel Iris Xe,3,,1.7,https://www.pccomponentes.com/alurin-flex-advance-intel-core-i5-1155g7-16gb-500gb-ssd-156-egip,4000
2.8 GHz,4,16,512,15.6,NVidia RTX 3080 Ti,3,Windows,,https://www.pccomponentes.com/portatil-alurin-flex-advance-intel-core-i5-1235u-16gb-1tb-ssd-156-windows-11-home,90
,,,,,,,,,https://www.pccomponentes.com/portatil-alurin-flex-advance-intel-core-i5-1235u-16gb-500gb-ssd-156-windows-11-home,
2.6 GHz,4,8,256,15.6,Intel Iris Xe,3,Windows 11,,https://www.pccomponentes.com/alurin-flex-advance-intel-core-i3-1125g4-8gb-256gb-ssd-156-windows-11-home,4000
2.1 GHz,4,16,1024,15.6,Intel Iris Xe,3,Windows 11 Home Advanced,1.7,https://www.pccomponentes.com/alurin-flex-advance-intel-core-i5-1155g7-16gb-1tb-ssd-156-windows-11-home,4000
2.1 GHz,4,16 GB,500 GB,15.6,Intel Iris Xe,3,Windows 11 Home Advanced,1.7 Kg,https://www.pccomponentes.com/alurin-flex-advance-intel-core-i5-1155g7-16gb-500gb-ssd-156-windows-11-home,4000
1.8GHz,4,16GB,500GB,15.6,Intel Iris Xe,3,,1.7Kg,https://www.pccomponentes.com/alurin-flex-advance-intel-core-i5-1155g7-16gb-500gb-ssd-156-city,
2.5 GHz,4,16,500,15.6,Intel Iris Xe,3,Sin sistema operativo,1.7,https://www.pccomponentes.com/alurin-flex-advance-intel-core-i5-1155g7-16gb-500gb-ssd-156-japan,4000
2.1 GHz,4 cores,16,500,15.6,Intel Iris Xe,3,None,1.7,https://www.pccomponentes.com/alurin-flex-advance-intel-core-i5-1155g7-16gb-500gb-ssd-156-neon,4000
None,4,8,256,15.6,Intel Iris Xe,3,Windows 11,1.7,https://www.pccomponentes.com/alurin-flex-advance-intel-core-i5-1155g7-8gb-256gb-156-windows-11-home,4000
up to 4.5 GHz,8,8,500,14,Intel Iris Xe,3,Windows 11,1.5,https://www.pccomponentes.com/alurin-flex-advance-intel-core-i5-1155g7-8gb-500gb-ssd-14-windows-11-home,4000
2.5 GHz,4,8,500,15.6,Intel Iris Xe,3,Windows 11,1.7,https://www.pccomponentes.com/alurin-flex-advance-intel-core-i5-1155g7-8gb-500gb-ssd-156-windows-11-home,
2.8 GHz,4,16,512,15.6,NVidia RTX 3070 Ti,3,Windows 11,,https://www.pccomponentes.com/portatil-alurin-flex-advance-intel-core-i5-1235u-16gb-500gb-ssd-14-batman-core,
,,16GB,1TB,15.6,Intel Iris Xe,3,,1.7,https://www.pccomponentes.com/alurin-flex-advance-intel-core-i7-1255u-16gb-1tb-ssd-156,4000
2.5 GHz,4,16 GB,1 TB,15.6,Intel Iris Xe,3,Windows 11,1.7 kg,https://www.pccomponentes.com/alurin-flex-advance-intel-core-i7-1255u-16gb-1tb-ssd-156-windows-11-home,4000 mAh
,4,16,500,15.6,Intel Iris Xe,3,,1.7,https://www.pccomponentes.com/alurin-flex-advance-intel-core-i7-1255u-16gb-500gb-ssd-156,4000
2.9 GHz,4,16,500,15.6,Intel Iris Xe,3,Windows 11,1.7,https://www.pccomponentes.com/alurin-flex-advance-intel-core-i7-1255u-16gb-500gb-ssd-156-windows-11-home,4000
2.5 GHz,4,32,1000,15.6,Intel Iris Xe,4,Windows 11,1.7,https://www.pccomponentes.com/portatil-alurin-flex-advance-intel-core-i7-1255u-32gb-1tb-156-windows-11-home,4000
,,,,,,,,,https://www.pccomponentes.com/portatil-alurin-flex-advance-n24-intel-core-i5-1235u-16gb-1tb-ssd-14-windows-11-home,
,0,,,,,,,,https://www.pccomponentes.com/portatil-alurin-flex-advance-n24-intel-core-i5-1235u-16gb-1tb-ssd-156,
,,,,,,,,,https://www.pccomponentes.com/portatil-alurin-flex-advance-n24-intel-core-i5-1235u-16gb-500gb-ssd-156-windows-11-home,
,0,,,,,,,,https://www.pccomponentes.com/alurin-go-intel-pentium-n4200-8gb-128gb-ssd-141,
,,,,,,,,,https://www.pccomponentes.com/alurin-go-intel-pentium-n4200-8gb-256gb-ssd-141,
2.30 GHz,8,16,1,15.6,AMD Radeon,3,Windows 11,1.75,https://www.pccomponentes.com/alurin-zenith-amd-ryzen-7-5700u-16gb-1tb-ssd-156-windows-11-home,
up to 4.3 GHz,8,16,500,15.6,AMD Radeon,4,Sin sistema operativo,1.75,https://www.pccomponentes.com/alurin-zenith-amd-ryzen-7-5700u-16gb-500gb-ssd-156,
,8,16,500,15.6,AMD Radeon,4,Windows 11,1.75,https://www.pccomponentes.com/alurin-zenith-amd-ryzen-7-5700u-16gb-500gb-ssd-156-windows-11-home,0
Intel Core i5-1235U,,16,1,15.6,Intel Iris Xe Graphics,3,,,https://www.pccomponentes.com/alurin-zenith-intel-core-i5-1235u-16gb-1tb-ssd-156,
2.6 GHz,4,16,1024,15.6,Intel Iris Xe Graphics,5,Sin sistema operativo,1.75,https://www.pccomponentes.com/portatil-alurin-zenith-intel-core-i5-1235u-16gb-1tb-ssd-156-pccom-essential-maletin-negro,
,4,16,500,15.6,Intel Iris Xe Graphics,5,,1.75,https://www.pccomponentes.com/alurin-zenith-intel-core-i5-1235u-16gb-500gb-ssd-156,
2.6 GHz,4,16,500,15.6,Intel Iris Xe Graphics,3,Sin sistema operativo,1.75,https://www.pccomponentes.com/portatil-alurin-zenith-intel-core-i5-1235u-16gb-500gb-ssd-156-pccom-essential-maletin-negro,
1.30 GHz,4,16,500,15.6,Intel Iris Xe Graphics,3,Windows 11,1.75,https://www.pccomponentes.com/alurin-zenith-intel-core-i5-1235u-16gb-500gb-ssd-156-windows-11-home,
Intel Core i5-1235U,4,16GB,500GB,15.6,Intel Iris Xe Graphics,3,Windows 11,1.75 Kg,https://www.pccomponentes.com/portatil-alurin-zenith-intel-core-i5-1235u-16gb-500gb-ssd-156-windows-11-pro,
,8,,,,,,,,https://www.pccomponentes.com/apple-macbook-air-apple-m1-16gb-256gb-ssd-gpu-hepta-core-133-gris-espacial,
,8,,,13.3,Apple GPU,2,macOS Big Sur,1.29 kg,https://www.pccomponentes.com/apple-macbook-air-apple-m1-8-gb-512gb-ssd-gpu-octa-core-133-plata,
,8,8,512,13.3,Apple GPU,2,macOS Big Sur,1.29,https://www.pccomponentes.com/apple-macbook-air-apple-m1-8gb-512gb-ssd-gpu-8-nucleos-133-gris-espacial-teclado-ingles,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-air-apple-m1-8gb-512gb-ssd-gpu-hepta-core-133-gris-espacial,u003e
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-air-apple-m1-8gb-512gb-ssd-gpu-octa-core-133-dorado,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-air-apple-m1-8gb-512gb-ssd-gpu-octa-core-133-gris-espacial,
,8,8,256,13,,1,macOS,,https://www.pccomponentes.com/apple-macbook-air-apple-m3-8gb-256gb-ssd-gpu-8-nucleos-136-gris-espacial,
Base speed,8,8,256,13.6,"Apple GPU, 10 cores",2,MacOS,,https://www.pccomponentes.com/apple-macbook-air-apple-m3-8gb-512gb-ssd-gpu-10-nucleos-136-gris-espacial,
,8,8,256,13.6,,2,,,https://www.pccomponentes.com/apple-macbook-air-apple-m3-8gb-512gb-ssd-gpu-10-nucleos-136-plata,
,8,8,256,15.3,,2,Apple,1.29,https://www.pccomponentes.com/apple-macbook-air-apple-m3-8gb-512gb-ssd-gpu-10-nucleos-153-gris-espacial,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-air-intel-core-i3-8gb-256gb-ssd-133-gris-espacial,
,0,,,,,,,,https://www.pccomponentes.com/apple-macbook-air-intel-core-i3-8gb-256gb-ssd-133-oro,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-air-intel-core-i3-8gb-256gb-ssd-133-plata,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-air-intel-core-i5-16ghz-8gb-128gb-ssd-133-retina-oro,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-air-intel-core-i5-16ghz-8gb-256gb-ssd-133-retina-plata,
2.8 GHz,4,16,512,15.6,NVidia RTX 4080 Ti,3,Windows 10,,https://www.pccomponentes.com/apple-macbook-air-intel-core-i5-8-gb-256gb-ssd-133-gris-espacial,80
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-air-intel-core-i5-8gb-128gb-ssd-133-gris-espacial,
Base speed: 1.7 GHz,4,8,256,13.3,Intel UHD Graphics 617,2,macOS Mojave,1.25,https://www.pccomponentes.com/apple-macbook-air-intel-core-i5-8gb-128gb-ssd-133-gris-teclado-ingles,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-air-intel-core-i5-8gb-128gb-ssd-133-oro,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-air-intel-core-i5-8gb-128gb-ssd-133-plata,
2.6 GHz,4,8 GB,256 GB,12.9 inches,Intel UHD Graphics 617,2,macOS Mojave,1.25 kg,https://www.pccomponentes.com/apple-macbook-air-intel-core-i5-8gb-256gb-ssd-133-gris-teclado-ingles,
,,,,,,0,,,https://www.pccomponentes.com/apple-macbook-air-intel-core-i5-8gb-256gb-ssd-133-oro,
,0,,,,,,,,https://www.pccomponentes.com/apple-macbook-air-intel-core-i5-8gb-256gb-ssd-133-plata,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-air-intel-core-i5-8gb-512gb-ssd-133-gris-espacial,
2.8 GHz,8,16 GB,512 GB,15.6 inches,NVidia GeForce RTX 3070 Ti,3,,,https://www.pccomponentes.com/apple-macbook-air-intel-core-i5-8gb-512gb-ssd-133-plata,
,8,16,512,13.3,Apple GPU,2,macOS Big Sur,1.29,https://www.pccomponentes.com/apple-macbook-air-m1-8gb-256gb-ssd-133-space-grey-teclado-frances,49900
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-air-i5-4gb-256gb-133-plata,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-air-i5-8gb-128gb-133-plata,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-intel-core-m3-8gb-256gb-12-oro,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-intel-core-m3-8gb-256gb-12-plata,
,Total cores: 8,16 GB,512 GB SSD,14,,3,macOS Monterey,1.6,https://www.pccomponentes.com/apple-macbook-pro-2021-apple-m1-pro-16gb-1tb-ssd-142-gris-espacial,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m1-max-32gb-1tb-ssd-162-gris-espacial,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m1-max-32gb-1tb-ssd-162-plata,
2.4 GHz,8,64,1024,16.0,,3,macOS Monterey,2.2 kg,https://www.pccomponentes.com/apple-macbook-pro-apple-m1-max-32gb-1tb-ssd-gpu-32-nucleos-162-gris-espacial-teclado-ingles,10710
,4,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m1-max-64gb-1tb-ssd-162-gris-espacial,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m1-max-64gb-2tb-ssd-162-gris-espacial,
3.5 GHz,4,16,512,14,NVidia RTX 4080 Ti,2,Windows 10,,https://www.pccomponentes.com/apple-macbook-pro-apple-m1-pro-16-gb-512gb-ssd-142-gris-espacial,9600
2.8 GHz,6,16,512,15.6,NVidia RTX 4080 Ti,3,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m1-pro-16gb-1tb-ssd-142-plata,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m1-pro-16gb-1tb-ssd-162-plata,
,8,16GB,512GB,13,,,macOS Monterey,1.6,https://www.pccomponentes.com/apple-macbook-pro-apple-m1-pro-16gb-1tb-ssd-gpu-16-nucleos-142-plata-teclado-ingles,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m1-pro-16gb-1tb-142-plata-pt,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m1-pro-16gb-512gb-ssd-162-gris-espacial,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m1-pro-16gb-512gb-ssd-162-plata,
up to 2.0 GHz,,16 GB,512 GB,14.2 inches,Apple GPU,3,macOS Monterey,1.6 kg,https://www.pccomponentes.com/apple-macbook-pro-apple-m1-pro-16gb-512gb-ssd-gpu-14-nucleos-142-gris-teclado-ingles,
,0,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m1-pro-32gb-512gb-ssd-142-gris-espacial,
,0,0,0,,,0,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m1-pro-32gb-512gb-ssd-162-plata,
,,,,,,0,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m1-16gb-256gb-ssd-133-gris-espacial,
4.5GHz,8,16,512,15.6,NVidia RTX 4080 Ti,3,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m1-8gb-256gb-ssd-133-gris-espacial,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m1-8gb-256gb-ssd-133-plata,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m1-8gb-512gb-ssd-133-gris-espacial,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m1-8gb-512gb-ssd-133-plata,
,0,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m2-max-32gb-1tb-ssd-142-gris-espacial,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m2-max-32gb-1tb-ssd-142-plata,
3.4 GHz,8,32,512,15.6,NVidia GeForce RTX 3080 Ti,3,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m2-max-32gb-1tb-ssd-162-plata,
,0,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m2-pro-10-nucleos-16gb-512gb-ssd-142-plata,
,,,,,,0,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m2-pro-12-nucleos-16gb-1tb-ssd-162-gris-espacial,
2.5 GHz,4,16,512,15.6,NVidia RTX 4080 Ti,3,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m2-pro-12-nucleos-16gb-512gb-ssd-162-gris-espacial,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m2-pro-12-nucleos-16gb-512gb-ssd-162-plata,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-apple-m2-pro-12-nucleos-32gb-1tb-ssd-162-gris-espacial,
none,8,16,512,14,NVidia RTX 4080 Ti,4,macOS,1.6,https://www.pccomponentes.com/portatil-apple-macbook-pro-apple-m4-10-nucleos-24gb-1tb-ssd-gpu-10-nucleos-14-negro-espacial,
up to 3.7 GHz,10 cores,64 GB,8 TB SSD,14 inches,AMD Radeon Pro W6800X,4,macOS,1.6 kg,https://www.pccomponentes.com/portatil-apple-macbook-pro-apple-m4-max-14-nucleos-36gb-1tb-ssd-gpu-32-nucleos-14-plata,
2.9 GHz,10,64 GB,8 TB,16,None mentioned,4,macOS,2.15 kg,https://www.pccomponentes.com/portatil-apple-macbook-pro-apple-m4-max-14-nucleos-36gb-1tb-ssd-gpu-32-nucleos-16-plata,
None,8,64,None,16,NVIDIA GeForce RTX 4080 Ti,4,macOS,2.15,https://www.pccomponentes.com/portatil-apple-macbook-pro-apple-m4-max-16-nucleos-48gb-1tb-ssd-gpu-40-nucleos-16-negro-espacial,None
,6,64,1000,16,,4,macOS,2.15,https://www.pccomponentes.com/portatil-apple-macbook-pro-apple-m4-max-16-nucleos-48gb-1tb-ssd-gpu-40-nucleos-16-plata,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i5-14ghz-8gb-128gb-ssd-133-gris-espacial,
3.5 GHz,8,16,512,15.6,NVidia RTX 3070 Ti,2,,,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i5-14ghz-8gb-128gb-ssd-133-plata,90
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i5-14ghz-8gb-256gb-ssd-133-gris-espacial,
2.5GHz,8,16,512,15.6,NVidia RTX 3080 Ti,3,,,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i5-14ghz-8gb-256gb-ssd-133-plata,
2.4 GHz,8,16,512,15.6,NVidia RTX 4080 Ti,3,,,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i5-24ghz-8gb-256gb-ssd-133-gris-espacial,
2.8 GHz,8,16,512,15.6,NVidia RTX 4080 Ti,3,,,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i5-24ghz-8gb-256gb-ssd-133-gris-espacial-refurbished,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i5-24ghz-8gb-256gb-ssd-133-plata,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i5-24ghz-8gb-512gb-ssd-133-gris-espacial,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i5-24ghz-8gb-512gb-ssd-133-plata,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i5-16gb-1tb-ssd-133-plata,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i5-16gb-512gb-ssd-133-plata,
,,,,,,0,,,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i5-16gb-512gb-ssd-133-gris-espacial,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i5-8gb-128gb-13-plata,
2.8 GHz,16,32 GB,1 TB,17.3 inches,NVidia GeForce RTX 4080 Ti,4,,,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i5-8gb-256gb-ssd-13-gris-espacial,
2.5 GHz,8,16,512,15.6,NVidia GeForce GTX 1660 Ti,3,,,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i5-8gb-256gb-ssd-133-gris-espacial,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i5-8gb-256gb-ssd-133-gris-espacial-teclado-ingles,
2.8GHz,4,16,512,14,NVidia RTX 4080 Ti,3,Windows 10,,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i5-8gb-256gb-ssd-133-plata,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i5-8gb-256gb-13-plata,
,,,,,,1,,,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i5-8gb-512gb-ssd-13-plata,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i5-8gb-512gb-ssd-133-plata,
,0,0,0,0,,0,,,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i7-26ghz-16gb-256gb-ssd-radeon-pro-555x-154-gris-espacial,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i7-16gb-512gb-ssd-r9-m370x-154-plata-teclado-ingles,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-intel-core-i9-23ghz-16gb-512gb-ssd-radeon-pro-560x-154-plata,
2.8 GHz,4,16,512,,Intel Iris Plus Graphics,3,"macOS, Windows 10",1.37,https://www.pccomponentes.com/apple-macbook-pro-retina-intel-core-i5-6360u-8gb-256gb-ssd-133-gris-espacial-teclado-ingles,5940
2.9 GHz,4,8,512,13.3,,0,macOS Sierra,1.37,https://www.pccomponentes.com/apple-macbook-pro-touch-bar-intel-core-i5-8-gb-512gb-ssd-133-gris-espacial-teclado-ingles,
1.4 GHz,4,8,0,15.6 inches,Intel Iris Plus Graphics 645,2,macOS Catalina,1.4,https://www.pccomponentes.com/apple-macbook-pro-touch-bar-intel-core-i5-8gb-256gb-ssd-133-gris-espacial,
2.6 GHz,4,8 GB,256 GB,13.3,,2,macOS Mojave,1.37 kg,https://www.pccomponentes.com/apple-macbook-pro-touch-bar-intel-core-i5-8gb-256gb-ssd-133-gris-espacial-teclado-ingles,5667 mAh
2.8 GHz,6,16,512,14,NVidia RTX 3080,4,,,https://www.pccomponentes.com/apple-macbook-pro-touch-bar-intel-core-i5-8gb-256gb-ssd-133-gris-teclado-ingles,
3.5 GHz,2,8,512,13.3,,,macOS Sierra,1.37,https://www.pccomponentes.com/apple-macbook-pro-touch-bar-intel-core-i5-8gb-512-gb-ssd-133-gris-espacial-teclado-ingles,
Base speed: 1.65 GHz,4,8,256,13.3,,2,macOS Mojave,1.37,https://www.pccomponentes.com/apple-macbook-pro-touch-bar-intel-core-i5-8gb-512gb-ssd-133-gris-espacial-teclado-ingles,
2.10 GHz,4,16 GB,512 GB,15.4 inches,Intel Iris Plus Graphics 655,4,macOS Mojave,1.37 kg,https://www.pccomponentes.com/apple-macbook-pro-touch-bar-intel-core-i5-8gb-512gb-ssd-133-plata-teclado-ingles,
2.2 GHz,6,16,256,15.4,AMD Radeon Pro 555X,1,macOS Mojave,1.83,https://www.pccomponentes.com/apple-macbook-pro-touch-bar-intel-core-i7-16gb-256-gb-ssd-radeon-pro-555x-154-gris-teclado-ingles,
2.4 GHz,4,16 GB,512 GB,15.5 inches,Intel HD Graphics 530,4,macOS Sierra,1.83 kg,https://www.pccomponentes.com/apple-macbook-pro-touch-bar-intel-core-i7-16gb-256gb-ssd-radeon-pro-450-154-gris-teclado-ingles,
2.6 GHz,4,16 GB,256 GB,15.5 inches,Intel HD Graphics 530,0,macOS Sierra,1.83 kg,https://www.pccomponentes.com/apple-macbook-pro-touch-bar-intel-core-i7-16gb-512gb-ssd-radeon-pro-455-154-gris-teclado-ingles,
2.6 GHz,6,16 GB,512 GB,15.4 inches,AMD Radeon Pro 560X,,macOS Mojave,1.83 kg,https://www.pccomponentes.com/apple-macbook-pro-touch-bar-intel-core-i7-16gb-512gb-ssd-radeon-pro-560x-154-gris-teclado-ingles,
2.5 GHz,6,16,512,14,NVidia RTX 3070 Ti,3,,,https://www.pccomponentes.com/apple-macbook-pro-touch-bar-intel-core-i7-16gb-512gb-15-plata,
2.8 GHz,10,16,512,15.6,NVidia GeForce GTX 1650,3,,,https://www.pccomponentes.com/apple-macbook-pro-touch-bar-intel-core-i7-16gb-1tb-ssd-133-gris-espacial,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-pro-touch-bar-intel-core-i9-16gb-1tb-ssd-radeon-pro-5500m-16-gris-teclado-ingles,
2.3 GHz,8,16,512,15.4,AMD Radeon Pro 560X,4,macOS Mojave,1.83,https://www.pccomponentes.com/apple-macbook-pro-touch-bar-intel-core-i9-16gb-512gb-ssd-radeon-pro-560x-154-gris-teclado-ingles,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-air-2023-apple-m2-16gb-1tb-ssd-gpu-deca-core-153-medianoche,
3.20GHz,8,16,512,15.6,NVidia RTX 3080 Ti,2,,,https://www.pccomponentes.com/apple-macbook-air-2023-apple-m2-8gb-256gb-ssd-gpu-deca-core-153-blanco-estrella,90
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-air-2023-apple-m2-8gb-256gb-ssd-gpu-deca-core-153-gris-espacial,
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-air-2023-apple-m2-8gb-256gb-ssd-gpu-deca-core-153-medianoche,
,8,16,512,15.6,,2,,,https://www.pccomponentes.com/apple-macbook-air-2023-apple-m2-8gb-512gb-ssd-gpu-deca-core-153-blanco-estrella,7000
,,,,,,,,,https://www.pccomponentes.com/apple-macbook-air-2023-apple-m2-8gb-512gb-ssd-gpu-deca-core-153-gris-espacial,
